@relation att_3b01bcb8_0b14_4abf_b6f2_c1bfd384ba69

@attribute state {Bihar,Chhattisgarh,Arunachal_Pradesh,Assam,Andhra_Pradesh,Delhi,Gujarat,Haryana,Karnataka,'Madhya Pradesh',Maharashtra,Kerala,Odisha,Punjab,Manipur,Rajasthan,TamilNadu,Telangana,Uttar_Pradesh,West_Bengal,Uttarakhand,Chandigarh,Mizoram,Nagaland,Puducherry,Tripura,Jharkhand,Jammu_and_Kashmir,Meghalaya,'Himachal Pradesh'}
@attribute city string
@attribute pollutant_min numeric
@attribute pollutant_max numeric
@attribute pollutant_avg numeric

@data
Delhi,Delhi,0.19696969696969696,0.14153846153846153,0.16
Delhi,Delhi,0.0,0.015384615384615385,0.012
Delhi,Delhi,0.1893939393939394,0.20615384615384616,0.22
Chhattisgarh,Bhilai,0.045454545454545456,0.16,0.164
Gujarat,Surat,0.3409090909090909,0.18153846153846154,0.212
Gujarat,Vatva,0.03787878787878788,0.11692307692307692,0.1
Karnataka,Vijayapura,0.09848484848484848,0.04923076923076923,0.06
Karnataka,Bengaluru,0.24242424242424243,0.11384615384615385,0.14
Karnataka,Bengaluru,0.1590909090909091,0.07076923076923076,0.088
Karnataka,Bengaluru,0.1590909090909091,0.06769230769230769,0.084
Karnataka,Kolar,0.12878787878787878,0.15692307692307692,0.184
Karnataka,Chikkaballapur,0.17424242424242425,0.07076923076923076,0.092
Haryana,Faridabad,0.13636363636363635,0.06153846153846154,0.076
Haryana,Gurugram,0.09090909090909091,0.19384615384615383,0.052
Karnataka,Bengaluru,0.19696969696969696,0.13846153846153847,0.132
Kerala,Kannur,0.19696969696969696,0.09230769230769231,0.112
Maharashtra,Mumbai,0.3787878787878788,0.27692307692307694,0.292
Maharashtra,Mumbai,0.015151515151515152,0.21846153846153846,0.14
'Madhya Pradesh',Gwalior,0.2803030303030303,0.2923076923076923,0.316
'Madhya Pradesh',Jabalpur,0.08333333333333333,0.26461538461538464,0.26
Maharashtra,Jalgaon,0.015151515151515152,0.23692307692307693,0.224
'Madhya Pradesh',Jabalpur,0.09090909090909091,0.20615384615384616,0.192
Maharashtra,Mumbai,0.10606060606060606,0.046153846153846156,0.06
Maharashtra,Akola,0.0,0.28,0.172
Maharashtra,Mumbai,0.0,0.22153846153846155,0.196
Maharashtra,Mumbai,0.20454545454545456,0.08615384615384615,0.112
Maharashtra,Pune,0.06818181818181818,0.39076923076923076,0.328
